 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   288      0.54490948       0.00188209
   289      0.54679254       0.00188306
   290      0.54867614       0.00188360
   291      0.55055855       0.00188241
   292      0.55244225       0.00188371
   293      0.55432391       0.00188166
   294      0.55620655       0.00188263
   295      0.55809045       0.00188390
   296      0.55997437       0.00188392
   297      0.56186125       0.00188688
   298      0.56374912       0.00188787
   299      0.56563915       0.00189004
   300      0.56753232       0.00189316
   301      0.56942712       0.00189480
   302      0.57132389       0.00189677
   303      0.57322207       0.00189818
   304      0.57511938       0.00189731
   305      0.57701764       0.00189826
   306      0.57891328       0.00189564
   307      0.58080938       0.00189610
   308      0.58270541       0.00189604
   309      0.58460093       0.00189552
   310      0.58649904       0.00189811
   311      0.58839675       0.00189771
   312      0.59029612       0.00189938
   313      0.59219819       0.00190206
   314      0.59410109       0.00190291
   315      0.59600773       0.00190664
   316      0.59791495       0.00190722
   317      0.59982542       0.00191047
   318      0.60173582       0.00191041
   319      0.60364902       0.00191319
   320      0.60556183       0.00191281
   321      0.60747674       0.00191491
   322      0.60939287       0.00191613
   323      0.61131027       0.00191740
   324      0.61322927       0.00191900
   325      0.61514804       0.00191877
   326      0.61706661       0.00191857
   327      0.61898604       0.00191943
   328      0.62090550       0.00191946
   329      0.62282507       0.00191957
   330      0.62474405       0.00191898
   331      0.62666235       0.00191830
   332      0.62857976       0.00191742
   333      0.63049730       0.00191753
   334      0.63241503       0.00191773
   335      0.63433247       0.00191745
   336      0.63625066       0.00191818
   337      0.63816876       0.00191810
   338      0.64008729       0.00191853
   339      0.64198761       0.00190032
   340      0.64388275       0.00189514
   341      0.64577532       0.00189257
   342      0.64768544       0.00191012
   343      0.64956999       0.00188455
   344      0.65148512       0.00191513
   345      0.65340002       0.00191490
   346      0.65531427       0.00191425
   347      0.65720802       0.00189375
